gname	eventid	iyear	imonth	iday	country_txt	region_txt	latitude	longitude	crit1	crit2	crit3	doubtterr	alternative_txt	success	suicide	attacktype1_txt	targtype1_txt	natlty1_txt	nperps	nperpcap	weaptype1_txt	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propvalue	ishostkid	nhostkid	ransom	galias
Shining Path (SL)	198404180003	1984	4	18	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	NA	Peru	NA	NA	Firearms	4	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198606070008	1986	6	7	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Government (General)	Peru	NA	NA	Explosives/Bombs/Dynamite	3	NA	NA	3	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198305300002	1983	5	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Private Citizens & Property	Peru	NA	NA	Firearms	3	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198208300002	1982	8	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	45000	0	NA	0	SL
Shining Path (SL)	198202050002	1982	2	5	Peru	South America	NA	NA	1	1	1	-9	NA	0	0	Bombing/Explosion	Journalists & Media	Peru	NA	NA	Explosives/Bombs/Dynamite	0	0	NA	0	0	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198903270007	1989	3	27	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Police	Peru	50	NA	Firearms	12	NA	NA	20	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198704210003	1987	4	21	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198704210004	1987	4	21	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198812130013	1988	12	13	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Government (General)	Peru	4	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198904010001	1989	4	1	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Government (General)	Peru	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198212310007	1982	12	31	Peru	South America	NA	NA	1	1	1	-9	NA	0	0	Facility/Infrastructure Attack	Private Citizens & Property	Peru	NA	NA	Incendiary	0	NA	NA	0	NA	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198212310015	1982	12	31	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Facility/Infrastructure Attack	Business	Peru	NA	NA	Incendiary	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198208300007	1982	8	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198501180001	1985	1	18	Peru	South America	NA	NA	1	1	1	-9	NA	0	0	Bombing/Explosion	Food or Water Supply	Peru	1	NA	Explosives/Bombs/Dynamite	1	NA	1	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198308070002	1983	8	7	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198408080014	1984	8	8	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	NA	Private Citizens & Property	Peru	NA	NA	NA	25	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
